"prompt","answer"
"设全集 $U=\{1，2，3，4，5\}$ ，集合 $A=\{2，4\}$ ，求 $\bar{A}$ ？","$\{1，3，5\}$"
"已知 $f(x) = \begin{cases}\sqrt{x}， x > 0 \\1， x \leq 0\end{cases}$ ， $f(3)=$ ？","$\sqrt{3}$"
"已知 $x \in R$ ， $x^2 - 2x - 3 < 0$ 的解集为？","$(-1，3)$"
"已知 $F(x) = x^3 + a$ ，已知 $F(x)$ 是奇函数， $x \in R$ ， $a=$ ？","$0$"
"已知 $k \in R$ ， $\vec{a}=(2，5)$ ， $\vec{b}=(6，k)$ ， $\vec{a}//\vec{b}$ ，则 $k$ 的值为？","$15$"
"在 $(x+1)^n$ 的二项展开式中，若各项系数和为 32，则 $x^2$ 项的系数为？","$10$"
"已知抛物线 $y^2=4x$ 上有一点 $P$ 到准线的距离为 9， 那么 $P$ 到 $x$ 轴的距离为？","$4\sqrt{2}$"
"某校举办科学竞技比赛，有 $A$ ， $B$ ， $C$ 三种题库， $A$ 题库有 5000 道题， $B$ 题库有 4000 道题， $C$ 题库有 3000 道题。小申已完成所有题，他 $A$ 题库的正确率是 0。92，B 题库的正确率是 0。86，C 题库的正确率是 0。72。现他从所有的题中随即选一题，正确率是？","$\frac{17}{20}$"
"已知虚数 $z$ ，其实部为 1，且 $z+\frac{2}{z}=m(m \in R)$ ，则实数 $m$ 为？","$2$"
"设集合 $A$ 中的元素皆为无重复数字的三位正整数，且元素中任意两者之积皆为偶数，求集合中元素个数的最大值？","$329$"
"已知 $A$ 在 $O$ 正东方向， $B$ 在 $O$ 的正北方向， $O$ 到 $A$ 、 $B$ 距离相等，角 $BTO=16。5^\circ$ ，角 $ATO=37^\circ$ ，则角 $BOT=$ (精确到 0。1 度)？","$7。8^\circ$"
"等比数列 $\{a_n\}$ 首项 $a_1>0$ ， $q>1$ ，记 $\ln=\{x-y|x，y\in[a_1，a_2]\cup[a_n，a_{n+1}]\}$ ，若对任意正整数 $n$ ， $\ln$ 是闭区间，则 $q$ 的范围是？","$[2，+\infty)$"
"已知气温温度和海水表层温度相关，且相关系数为正数，对此描述正确的是？ A.气候温度高，海水表层温度就高 B.气候温度高，海水表层温度就低 C.随着气候温度由低到高，海水表层温度呈上升趋势 D.随着气候温度由低到高，海水表层温度呈下降趋势","C"
"下列函数 $f(x)$ 的最小正周期是 $2\pi$ 的是？ A.$\sin x + \cos x$ B.$\sin x \cos x$ C.$\sin^2 x+\cos^2 x$ D.$\sin^2 x-\cos^2 x$","A"
"定义一个集合 $\Omega$ ，集合元素是空间内的点集，任取 $P_1， P_2， P_3 \in \Omega$ ，存在不完全为 0 的实数 $\lambda_1， \lambda_2， \lambda_3$ ，使得 $\lambda_1 OP_1 + \lambda_2 OP_2 + \lambda_3 OP_3 = 0$ 。 已知 $(1，0，0) \in \Omega$ ，则 $(0，0，1) \not\in \Omega$ 的充分条件是？ A.$(0，0，0)$ B.$(-1，0，0)$ C.$(0，1，0)$ D.$(0，0，-1)$","C"
