"prompt","answer"
"Given the universal set $U=\{1,2,3,4,5\}$ and set $A=\{2,4\}$, find $\bar{A}$?","$\{1,3,5\}$"
"Given $f(x) = \begin{cases}\sqrt{x}, x > 0 \\1, x \leq 0\end{cases}$, what is $f(3)$?","$\sqrt{3}$"
"Given $x \in R$, what is the solution set for $x^2 - 2x - 3 < 0$?","$(-1,3)$"
"Given $F(x) = x^3 + a$, and $F(x)$ is an odd function, $x \in R$, what is $a$?","$0$"
"Given $k \in R$, $\vec{a}=(2,5)$, $\vec{b}=(6,k)$, and $\vec{a}//\vec{b}$, what is the value of $k$?","$15$"
"In the binomial expansion of $(x+1)^n$, if the sum of all coefficients is 32, what is the coefficient of the $x^2$ term?","$10$"
"Given a point $P$ on the parabola $y^2=4x$, and the distance from $P$ to the directrix is 9, what is the distance from $P$ to the x-axis?","$4\sqrt{2}$"
"A school is holding a science competition with three question banks: A, B, and C. Question bank A has 5000 questions, B has 4000 questions, and C has 3000 questions. Xiao Shen has completed all the questions. His accuracy rate for question bank A is 0.92, for B is 0.86, and for C is 0.72. Now, if he randomly selects a question from all the questions, what is the probability of answering it correctly?","$\frac{17}{20}$"
"Given a complex number $z$ with real part 1, and $z+\frac{2}{z}=m(m \in R)$, what is the real number $m$?","$2$"
"Let the elements in set $A$ be three-digit positive integers without repeated digits, and the product of any two elements in the set is always even. What is the maximum number of elements that can be in this set?","$329$"
"Given that $A$ is due east of $O$, $B$ is due north of $O$, the distances from $O$ to $A$ and $B$ are equal, angle $BTO=16.5^\circ$, angle $ATO=37^\circ$, what is angle $BOT=$ (to the nearest 0.1 degree)?","$7.8^\circ$"
"For a geometric sequence $\{a_n\}$ with first term $a_1>0$ and common ratio $q>1$, let $I_n=\{x-y|x,y\in[a_1,a_2]\cup[a_n,a_{n+1}]\}$. If $I_n$ is a closed interval for any positive integer $n$, what is the range of $q$?","$[2,+\infty)$"
"Given that air temperature and sea surface temperature are correlated, and the correlation coefficient is positive, which of the following descriptions is correct?
A. When air temperature is high, sea surface temperature is high
B. When air temperature is high, sea surface temperature is low
C. As air temperature increases from low to high, sea surface temperature shows an upward trend
D. As air temperature increases from low to high, sea surface temperature shows a downward trend","C"
"Which of the following functions $f(x)$ has a minimum positive period of $2\pi$?
A. $\sin x + \cos x$
B. $\sin x \cos x$
C. $\sin^2 x+\cos^2 x$
D. $\sin^2 x-\cos^2 x$","A"
"Define a set $\Omega$, whose elements are sets of points in space. For any $P_1, P_2, P_3 \in \Omega$, there exist real numbers $\lambda_1$, $\lambda_2$, $\lambda_3$, not all zero, such that $\lambda_1 OP_1 + \lambda_2 OP_2 + \lambda_3 OP_3 = 0$. Given that $(1,0,0) \in \Omega$, what is the sufficient condition for $(0,0,1) \not \in \Omega$?
A. $(0,0,0)$
B. $(-1,0,0)$
C. $(0,1,0)$
D. $(0,0,-1)$","C"
"Define the set $M=\{x_0|x_0 \in R, X \in (-\infty, X_0), f(x) < f(x_0)\}$. Among all $f(x)$ that make $M=[-1,1]$, which of the following is true?
A. $f(x)$ is an even function
B. $f(x)$ reaches its maximum at $x=2$
C. $f(x)$ is strictly increasing
D. $f(x)$ reaches a local minimum at $x=-1$","D"
