"prompt","answer"
"已知集合 $A = \{x | -5 < x^3 < 5\}$ ，$B = \{-3, -1, 0, 2, 3\}$ ，则 $A \cap B =$ ？ A. $\{-1, 0\}$ B. $\{2, 3\}$ C. $\{-3, -1, 0\}$ D. $\{-1, 0, 2\}$","A"
"若 $\frac{z}{z-1} = 1 + i$ ，则 $z =$？ A. $-1 - i$ B. $-1 + i$ C. $1 - i$ D. $1 + i$","C"
"已知向量 $a = (0,1)$ ，$b = (2,x)$ 。若 $b ⊥ (b - 4a)$ ，则 $x =$？ A. -2 B. -1 C. 1 D. 2","D"
"已知 $\cos(\alpha + \beta) = m$ ，$\tan \alpha \tan \beta = 2$ ，则 $\cos(\alpha - \beta) =$ ？ A. $-3m$ B. $\frac{m}{3}$ C. $\frac{m}{3}$ D. $3m$","A"
"已知圆柱体和圆锥体的底面半径相等 ，侧面积相等 ，且他们的高均为 $\sqrt{3}$ ，则圆锥体的体积为？ A. $2\sqrt{3}\pi$ B. $3\sqrt{3}\pi$ C. $6\sqrt{3}\pi$ D. $9\sqrt{3}\pi$","B"
"已知函数为 $f(x) = \begin{cases} -x^2 - 2ax - a, & x < 0 \\ e^x + \ln(x+1), & x \geq 0 \end{cases}$ 在 $R$ 上单调递增，则 $a$ 的取值范围是？ A. $(-\infty, 0]$ B. $[-1, 0]$ C. $[-1, 1]$ D. $[0, +\infty)$","B"
"当 $x \in [0, 2\pi]$ 时，曲线 $y = \sin x$ 与 $y = 2\sin(3x - \frac{\pi}{6})$ 的交点个数为？ A. 3 B. 4 C. 6 D. 8","C"
"已知函数 $f(x)$ 的定义域为 $R$ ，$f(x) > f(x-1) + f(x-2)$，且当 $x < 3 时 f(x) = x$ ， 则下列结论中一定正确的是？ A. $f(10) > 100$ B. $f(20) > 1000$ C. $f(10) < 1000$ D. $f(20) < 10000$","B"
"为了解推动出口后的亩收入（单位：万元）情况，从种植区抽取样本，得到推动出口后亩收入的样本均值为 $\bar{x}=2. 1$ ，样本方差 $s^2=0.01$ 。已知该种植区以往的亩收入服从正态分布 $M(1.8, 0.1^2)$ ，假设推动出口后的亩收入 $Y$ 服从正态分布 $N(\bar{x},s^2)$ ，则？（若随机变量 $Z$ 服从正态分布 $N(\mu, \sigma^2)$ ，则 $P(Z < \mu + \sigma) \approx 0.8413$ ） A. $P(X > 2) > 0.2$ B. $P(X > 2) < 0.5$ C. $P(Y > 2) > 0.5$ D. $P(Y > 2) < 0.8$","BC"
"设函数 $f(x) = (x - 1)^2(x - 4)$ ，则？ A. $x = 3$ 是 $f(x)$ 的极小值点 B. 当 $0 < x < 1$ 时，$f(x) < f(x^2)$ C. 当 $1 < x < 2$ 时，$-4 < f(2x - 1) < 0$ D. 当 $-1 < x < 0$ 时，$f(2 - x) > f(x)$","ACD"
"造型 $\alpha$ 可以看作图中的曲线 $C$ 的一部分。已知 $C$ 过坐标原点 $O$，且 $C$ 上的点满足横坐标大于 -2；到点 $F(2,0)$ 的距离与到定直线 $x = a(a < 0)$ 的距离之积为 4，则？ A. $a = -2$ B. 点 $(2√2,0)$ 在 $C$ 上 C. $C$ 在第一象限的点的纵坐标的最大值为 1 D. 当点 $(x_0,y_0)$ 在 $C$ 上时， $y0 ≤ \frac{4}{(x_0 + 2)}$","ABD"
