"prompt","answer"
"Given set $A = \{x | -5 < x^3 < 5\}$, $B = \{-3, -1, 0, 2, 3\}$, then $A \cap B =$ ?
A. $\{-1, 0\}$
B. $\{2, 3\}$
C. $\{-3, -1, 0\}$
D. $\{-1, 0, 2\}$","A"
"If $\frac{z}{z-1} = 1 + i$, then $z =$ ?
A. $-1 - i$
B. $-1 + i$
C. $1 - i$
D. $1 + i$","C"
"Given vectors $a = (0,1)$ and $b = (2,x)$. If $b ⊥ (b - 4a)$, then $x =$ ?
A. -2
B. -1
C. 1
D. 2","D"
"Given $\cos(\alpha + \beta) = m$ and $\tan \alpha \tan \beta = 2$, what is $\cos(\alpha - \beta)$?
A. $-3m$
B. $\frac{m}{3}$
C. $\frac{m}{3}$
D. $3m$","A"
"Given that a cylinder and a cone have equal base radii, equal lateral surface areas, and both have a height of $\sqrt{3}$, what is the volume of the cone?
A. $2\sqrt{3}\pi$
B. $3\sqrt{3}\pi$
C. $6\sqrt{3}\pi$
D. $9\sqrt{3}\pi$","B"
"Given the function $f(x) = \begin{cases} -x^2 - 2ax - a, & x < 0 \\ e^x + \ln(x+1), & x \geq 0 \end{cases}$ is monotonically increasing on $R$, what is the range of values for $a$?
A. $(-\infty, 0]$
B. $[-1, 0]$
C. $[-1, 1]$
D. $[0, +\infty)$","B"
"When $x \in [0, 2\pi]$, how many intersection points are there between the curves $y = \sin x$ and $y = 2\sin(3x - \frac{\pi}{6})$?
A. 3
B. 4
C. 6
D. 8","C"
"Given that the domain of function $f(x)$ is $R$, $f(x) > f(x-1) + f(x-2)$, and when $x < 3$, $f(x) = x$, which of the following conclusions is definitely correct?
A. $f(10) > 100$
B. $f(20) > 1000$
C. $f(10) < 1000$
D. $f(20) < 10000$","B"
"To understand the situation of mu income (unit: 10,000 yuan) after promoting exports, samples were taken from the planting area, and the sample mean of mu income after promoting exports was $\bar{x}=2.1$, with sample variance $s^2=0.01$. It is known that the mu income of this planting area in the past followed a normal distribution $M(1.8, 0.1^2)$. Assuming that the mu income $Y$ after promoting exports follows a normal distribution $N(\bar{x},s^2)$, then? (If random variable $Z$ follows a normal distribution $N(\mu, \sigma^2)$, then $P(Z < \mu + \sigma) \approx 0.8413$)
A. $P(X > 2) > 0.2$
B. $P(X > 2) < 0.5$
C. $P(Y > 2) > 0.5$
D. $P(Y > 2) < 0.8$","BC"
"Let the function $f(x) = (x - 1)^2(x - 4)$, then?
A. $x = 3$ is the local minimum point of $f(x)$
B. When $0 < x < 1$, $f(x) < f(x^2)$
C. When $1 < x < 2$, $-4 < f(2x - 1) < 0$
D. When $-1 < x < 0$, $f(2 - x) > f(x)$","ACD"
